10001,BU0220,29
10001,ST0061,31
10002,EC0255,2
10003,BU0227,3
10003,PR0236,151
10004,BU0227,1
10004,FI0139,2
10004,FI0140,3
10005,CM0218,8
10006,OG0937,40
10006,OG0135,14
10006,OG1048,39
10007,EC0255,1
10007,OG0064,21
10008,NI0287,4
10008,PT0113,18
10008,PT1001,1
10009,DE0902,1
10009,DE0903,1
10010,ID0259,161
10010,PT0113,4
10010,ID0283,4
10010,PT1001,1
10011,IC0271,66
10011,IC0281,64
10011,IC0283,63
10011,IC0291,66
10011,IM0234,78
10011,PR0255,151
10011,IC0262,62
10011,CM0245,1
10011,EC0255,2
10011,IC0273,61
10011,IC0281,64
10011,IC0277,63
10012,BU0220,29
10012,ST0061,31
10013,CS0214,1
10014,CM0218,11
10014,OG0137,1
10015,IP0091,1
10016,EC0255,1
10017,OG0064,21
10017,ST0256,32
10018,CM0232,9
10019,CM0235,6
10019,HL0552,1
10019,OG0264,5
10020,PT0022,1
10020,CM0234,2
10020,EC0235,6
10021,CM0028,1
10021,CS0009,1
10021,CS0923,2
10021,CS0029,3
10021,CS0237,1
10021,CS0240,1
10021,HL0354,2
10022,PT0113,22
10022,IP0244,56
10022,PT0152,51
10023,BU0220,22
10023,OG0260,8
10023,OG0267,1
10023,OG0269,1
10023,OG0137,34
10024,OG0133,85
10025,CS0212,1
10025,CS0213,1
10025,CS0214,1
10025,BU0220,24
10026,CS0029,1
10026,DE0162,101
10026,EC0159,1
10026,CS0214,1
10027,OG0124,7
10028,ST0764,33
10028,OG0591,59
10028,ST0740,32
10028,ST0765,32
10029,IM0243,71
10029,IP0250,54
10029,IM0235,72
10029,OG0276,57
10030,CO0217,51
10031,MU0401,17
10031,ST0263,32
10032,PR0266,151
10032,PR0246,151
10033,IC0282,62
10034,IM0237,72
10034,IM0614,71
10034,PT1001,1
10034,BI0242,154
10034,IM0242,72
10035,MU0406,183
10036,DE0914,3
10036,DE0151,200
10036,GP0021,1
10036,GP0023,1
10036,DE0055,201
10036,DE0908,200
10036,DE0075,1
10037,DE0161,1
10038,PT1001,1
10039,PT0113,13
10039,NI0191,22
10039,PT1001,1
10040,ID0283,8
10040,IP0664,2
10040,IP0665,2
10040,PT1001,1
10041,EC0243,13
10041,OG0127,2
10041,OG0135,27
10041,PT0113,10
10041,EC0235,1
10041,ME0145,5
10041,OG0135,14
10041,OG0136,9
10041,OG0137,1
10041,PT1001,1
10042,OG0124,1
10043,IP0703,2
10043,IP0705,2
10043,IP0707,2
10043,IP0244,55
10043,IM0233,73
10043,IP0256,162
10043,IP0257,161
10043,ST0241,62
10044,BU0180,5
10044,DE0161,1
10044,DE0144,203
10044,DE0151,200
10044,OG0591,30
10044,DE0055,201
10044,DE0141,201
10044,PT0113,32
10045,HL0555,9
10045,ID0266,165
10045,OG0263,3
10045,ID0262,173
10045,IP0283,3
10045,PT0113,32
10046,CS0070,3
10046,CS0094,2
10046,GP0003,1
10046,CS0061,3
10046,CS0214,1
10046,GP0030,1
10047,BU0220,25
10047,OG0124,3
10048,BU0220,21
10048,MU0405,183
10048,MU0444,183
10049,CO0183,41
10050,CS0216,1
10050,CS0217,2
10050,CS0218,2
10050,PT1001,1
10051,EC0275,1
10052,EC0235,5
10053,PT0113,19
10054,IP0232,60
10054,PR0266,151
10054,PR0249,151
10054,PT0113,38
10055,PT0251,251
10055,PR0249,151
